PlayerID,TeamID,PlayerNo,PlayerNameE,PlayerNameJ,kWAR,OFFApps,DEFApps,RatingOFF,RatingDEF,HensatiOFF,HensatiDEF,HensatiOFF_abvRep,HensatiDEF_abvRep,Team,League,Division,Order,Rating,Matches,Wins,Loses,ScoreFor,ScoreAgainst,ScoreDiff,WinTable_1,WinTable_2,WinTable_3,WinTable_4,WinTable_5,WinTable_6,WinTable_7,WinTable_8,WinTable_9,WinTable_10,WinTable_11,WinTable_12,WinTable_13,WinTable_14,WinTable_15,WinTable_16,WinTable_17,WinTable_18,WinTable_19,WinTable_20,WinTable_21,WinTable_22,WinTable_23,WinTable_24,WinTable_25,WinTable_26,WinTable_27,WinTable_28,WinTable_29,WinTable_30,WinTable_31,WinTable_32,WinTable_33,WinTable_34,WinTable_35,WinTable_36,WinTable_37,WinTable_38,WinTable_39,WinTable_40,Prob_PS,Prob_PSHome,AbvRpl_OFF,AbvRpl_DEF,AbvRpl_Total,AbvRpl_OFF_1,AbvRpl_DEF_1,AbvRpl_Total_1
8529,703,18,Seiji Ikaruga,鵤 誠司,0.694759410432332,1626,1663,0.122998200578698,0.0447512152192844,10.029951901152,2.03171754376363,12.7076524810279,5.15845947964445,宇都宮,B1,東,5,0.0739954279488025,60,45,15,5130,4801,329,2,1,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2.12550479160574,1.34829226055592,3.47379705216166,0.436598321306673,0.272380236517349,0.708978557824022
33085,703,25,D.J. Newbill,D.J・ニュービル,6.38389173930184,4810,4813,0.17062226800748,0.0709601989900058,15.4382689918873,5.50720615498641,18.1159695717632,8.63394809086723,宇都宮,B1,東,5,0.0739954279488025,60,45,15,5130,4801,329,2,1,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,18.4887752975495,13.4306833989597,31.9194586965092,5.22788332258414,3.09334959379285,8.321232916377
8593,703,33,Gavin Edwards,ギャビン・エドワーズ,4.80270907411887,4061,3918,0.187812557948688,0.0666049256747614,17.3904445179018,4.92966744008195,20.0681450977777,8.05640937596277,宇都宮,B1,東,5,0.0739954279488025,60,45,15,5130,4801,329,2,1,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,15.0285267700359,8.98501860055845,24.0135453705944,4.07852384700656,1.96452538202211,6.04304922902867
18430,703,34,Grant Jerrett,グラント・ジェレット,2.32305767615753,2921,3065,0.168361363801643,0.0227891119101662,15.18151463391,-0.880605978471027,17.8592152137859,2.24613595740979,宇都宮,B1,東,5,0.0739954279488025,60,45,15,5130,4801,329,2,1,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.25403884655335,3.36124953423431,11.6152883807877,1.90947225709871,0.684859068745407,2.59433132584412
5100000081,703,42,Isaac Fotu,アイザック・フォトゥ,2.72120515650654,3549,3328,0.138415113470343,0.0150949119120067,11.7807379633241,-1.90090896694274,14.4584385432,1.22583296893808,宇都宮,B1,東,5,0.0739954279488025,60,45,15,5130,4801,329,2,1,2,2,0,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10.1533087128574,3.4527170696753,13.6060257825327,2.35945706322778,0.702093432417898,3.06155049564567
5100000069,700,1,Ray Parks Jr.,レイ・パークスジュニア,2.69964232731246,4100,4058,0.0953649328948031,-0.00280003393380584,6.89184375633289,-4.27389988599729,9.56954433620876,-1.14715795011647,大阪,B1,西,21,-0.028720769058835,60,23,37,4868,4988,-120,1,0,1,0,0,0,3,1,0,0,1,2,1,3,1,0,3,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1480115136437,3.3502001229186,13.4982116365623,2.25688294824588,0.677057351508055,2.93394029975394
15817,700,4,Yasunori Aoki,青木 保憲,0.914726464298557,2200,2243,0.052855085773599,0.0515442562258192,2.06431126860572,2.93252075156124,4.74201184848159,6.05926268744206,大阪,B1,西,21,-0.028720769058835,60,23,37,4868,4988,-120,1,0,1,0,0,0,3,1,0,0,1,2,1,3,1,0,3,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91622011034416,2.65741221114863,4.57363232149279,0.387721378303714,0.543185305652171,0.930906683955885
26886,700,5,Matt Bonds,マット・ボンズ,2.03490274614345,4684,4730,0.0563138858902514,-0.0261716124344112,2.45710190565709,-7.37312935691994,5.13480248553297,-4.24638742103912,大阪,B1,西,21,-0.028720769058835,60,23,37,4868,4988,-120,1,0,1,0,0,0,3,1,0,0,1,2,1,3,1,0,3,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86504329387802,1.30947043683925,10.1745137307173,1.87947669729636,0.26219734541533,2.14167404271169
5100000030,700,8,Yoshiya Uematsu,植松 義也,-0.0494778965321941,1786,1837,-0.0146713565944363,-0.0445401003387454,-5.6041730094693,-9.80891515752063,-2.92647242959343,-6.68217322163981,大阪,B1,西,21,-0.028720769058835,60,23,37,4868,4988,-120,1,0,1,0,0,0,3,1,0,0,1,2,1,3,1,0,3,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0582819202369582,-0.189107562424012,-0.247389482660971,-0.0116565711938918,-0.0378275570542697,-0.0494841282481615
51000396,700,11,Ryan Luther,ライアン・ルーサー,2.56403446563437,4109,4126,0.0827132990277851,-0.00124540040290724,5.45509021210775,-4.06774495917792,8.13279079198362,-0.941003023297099,大阪,B1,西,21,-0.028720769058835,60,23,37,4868,4988,-120,1,0,1,0,0,0,3,1,0,0,1,2,1,3,1,0,3,0,1,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.19610381587254,3.62406851229934,12.8201723281719,2.00111811979158,0.733427996140168,2.73454611593175
