Ind,TeamID,Lineup_1,Lineup_2,Lineup_3,Lineup_4,Lineup_5,OFFApps,DEFApps,RatingOFF,RatingDEF,RatingOFF_mod,RatingDEF_mod,HensatiOFF,HensatiDEF
6238,727,8492,10852,15826,51000491,51000494,2,2,-0.10922178826483,-0.326874116086683,0.106624882044177,0.0624163857380797,-3.6146505501348,-11.2591206748507
6239,727,8492,10852,15826,51000494,51000510,3,6,-0.162218682410125,0.191075555764538,0.0245531237810205,0.0463483079632087,-5.44205926401071,6.34498070598721
6240,727,8492,10852,15826,51000494,51000554,6,9,-0.115488350598072,-0.538536134059066,0.0389015361428544,0.000884853887292501,-3.83073058271969,-18.4531007570099
6241,727,8492,10852,18433,51000494,51000554,5,5,0.712386260970936,-0.535330731348266,0.109344992958735,0.00891602394255869,24.715570168985,-18.3441553568021
6242,727,8492,10852,18433,51000510,51000554,11,16,0.486197022172922,-0.148479868544423,0.0568070833732098,-0.0118207948815452,16.9162416869942,-5.19584736826134
6243,727,8492,10852,51000494,51000510,51000513,7,8,-0.323383404567178,0.041299629560268,0.0289242113637017,0.068345117570268,-10.9992494048473,1.25438844847103
6244,727,8492,10852,51000494,51000510,51000554,14,10,0.589283156617657,-0.370110351990592,0.0403973427375414,-0.00423966980770454,20.4707990511981,-12.7286361925608
6245,727,8492,15826,18433,51000491,51000554,4,6,0.246620324196028,0.547781593112742,0.0871753370016569,-0.0242044590282637,8.65529446385462,18.468724741177
6246,727,8492,15826,18433,51000494,51000554,9,10,-0.0708207691506995,-0.13061290498565,0.0576414883240259,-0.0195357179790309,-2.29052848444375,-4.58858404722824
6247,727,8492,15826,18433,51000494,5100000022,4,4,-0.489099138676318,-0.802553877116192,0.119812678720514,0.115619673612701,-16.7133649473006,-27.4265500469879
6248,727,8492,15826,18433,51000510,51000554,35,33,-0.0174281921611986,-0.371458705425409,0.00510357873850052,-0.0402725368031347,-0.449476060137349,-12.7744641018225
6249,727,8492,15826,18433,51000510,5100000022,5,3,-0.350343611003531,-0.417827036791405,0.0672747691349887,0.094882854788597,-11.9288758851201,-14.3504334490176
6250,727,8492,15826,51000441,51000491,51000510,0,1,0,0.20604454131452,-0.00327116473716101,0.00714242649270905,0.151472933876591,6.85374739416434
6251,727,8492,15826,51000441,51000494,51000510,0,1,0,0.189991465387854,-0.032805013414792,0.0118111675419419,0.151472933876591,6.30813458379752
6252,727,8492,15826,51000491,51000510,51000554,5,4,-0.435408263617505,-0.142695856817117,0.0182276867804631,-0.037360152778527,-14.8620267788958,-4.9992600657315
6253,727,8492,15826,51000494,51000510,51000554,16,17,0.176169498431875,-0.1301296981472,-0.0113061618971679,-0.0326914117292941,6.2260492226484,-4.57216078714277
6254,727,8492,15826,51000494,51000510,5100000022,0,1,0,-0.167078531493179,0.0508650284993203,0.102463979862438,0.151472933876591,-5.82797972762306
6255,727,8492,18433,51000240,51000510,5100000022,2,4,0.419182691321228,-0.252497800298948,0.112581914268573,0.236229258552968,14.6054917057366,-8.73121444260852
6256,727,8492,18433,51000441,51000510,5100000022,3,5,-0.441690339628334,-0.203298537107545,0.0616201365738855,0.0887974562889198,-15.0786417452737,-7.05902723185424
6257,727,8492,18433,51000491,51000513,51000554,16,14,-0.0214825472054215,0.452524329520423,0.0915464245843381,-0.00220764942120443,-0.589276021181245,15.2311157288055
6258,727,8492,18433,51000494,51000513,51000554,0,4,0,0.32276514782378,0.0620125759067072,0.00246109162802845,0.151472933876591,10.8208536631536
6259,727,8492,18433,51000510,51000513,51000554,27,27,0.17599073342948,-0.184309256590502,0.00947466632118174,-0.0182757271960754,6.21988514967052,-6.4136185415149
6260,727,8492,51000441,51000494,51000510,5100000022,3,2,-0.0762539199181811,-0.163299021567352,0.0452103959382171,0.0963785813627605,-2.47787129417666,-5.69952154042826
6261,727,8492,51000491,51000494,51000513,51000554,0,2,0,-0.176952418136237,0.0751366839486697,0.00537347565263622,0.151472933876591,-6.16357391936379
6262,727,8492,51000494,51000510,51000513,51000554,14,20,-0.345202945296182,0.791388955978461,-0.00693507431448666,-0.0106946021222348,-11.7516183786146,26.7484649284409
6263,727,8654,10852,15826,18433,51000494,63,57,0.170992542394962,0.488770109353306,0.0886506646071061,0.0616801734889506,6.04754037367187,16.4630392485657
6264,727,8654,10852,15826,18433,51000510,12,12,-0.527133580484911,0.00297275400489568,0.0361127550215807,0.0409433546648467,-18.0248469031654,-0.0482674649423885
6265,727,8654,10852,15826,18433,51000513,0,1,0,-0.153214077213824,0.0389880360095749,0.0680646879669031,0.151472933876591,-5.35675390784135
6266,727,8654,10852,15826,51000441,51000494,1,2,-0.0931821461207002,-0.0803715815783912,0.0125525752301221,0.0475636049340072,-3.06158074681243,-2.88097923765727
6267,727,8654,10852,15826,51000491,51000510,1,0,-0.0971847224044185,0,0.0492368630635433,0.0438557386894545,-3.19959530213274,-0.14930558838676
6268,727,8654,10852,15826,51000494,51000510,16,19,0.182512254195433,-0.176633649603224,0.0197030143859123,0.0485244797386874,6.44475651369334,-6.15273959727199
6269,727,8654,10852,15826,51000510,51000513,2,7,-0.33395815855846,0.104944963298358,-0.029959614211619,0.0549089942166399,-11.3638820479939,3.41756948406872
6270,727,8654,10852,18433,51000441,51000494,13,13,0.527890377090229,0.269848933410531,0.082996032046003,0.0555947749892734,18.3538882003488,9.02233451380934
6271,727,8654,10852,18433,51000441,51000510,13,11,0.211657443371955,0.0617614158988199,0.0304581224604776,0.0348579561651695,7.44972432412243,1.94984474608672
6272,727,8654,10852,18433,51000494,51000513,51,46,-0.10208523378078,-0.19384707384824,0.0930217521897874,0.0836769830960099,-3.36857194380272,-6.73779038886256
6273,727,8654,10852,18433,51000494,51000554,13,17,-0.284418759512546,-0.199406693015295,0.104494883563627,0.0110921957180374,-9.65569271054918,-6.92675102495271
6274,727,8654,10852,18433,51000510,51000513,16,14,0.185966382030602,-0.365453565482319,0.0404838426042619,0.062940164271906,6.56385978203817,-12.5703610815688
6275,727,8654,10852,18433,51000510,51000554,2,3,0.150393291924326,0.089101586501827,0.0519569739781017,-0.00964462310606648,5.33724875344692,2.87908393904637
6276,727,8654,10852,51000441,51000491,51000494,8,6,0.449320599454275,-0.296722035482364,0.0961201400879655,0.0585071590138812,15.6446898857155,-10.2343101331151
6277,727,8654,10852,51000441,51000491,51000510,7,4,-0.00819355096882629,0.269026780190542,0.0435822305024401,0.0377703401897773,-0.131052423118295,8.99439112582816
6278,727,8654,10852,51000441,51000494,51000510,35,36,-0.208751128659713,0.311151320454635,0.0140483818248092,0.0424390812390102,-7.04656456806371,10.4261222721765
6279,727,8654,10852,51000491,51000494,51000554,2,7,-0.308723916635418,-0.382801826342669,0.11761899160559,0.0140045797426451,-10.4937692928616,-13.1599947073133
6280,727,8654,10852,51000494,51000510,51000513,14,15,-0.66112250808267,-0.0611548600772735,0.0240741019685935,0.0705212893457467,-22.644976776885,-2.22784027088488
6281,727,8654,15826,18433,51000491,51000554,14,11,0.639017503737788,-0.0651785083299874,0.0823252276065487,-0.0220282872527851,22.1857104770844,-2.36459624470071
6282,727,8654,15826,18433,51000491,5100000022,2,2,-0.198915340957606,-0.146705595576107,0.144496418003037,0.113127104338947,-6.70741253954318,-5.13554328292449
